instancia,numero_jobs,numero_maquinas,indice_execucao,semente,cmax_best,geracoes,tempo_segundos,alpha_medio,beta_medio,diversidade_media
Ta001_2,20,5,0,42,3021.0,100,59.526,0.5178651777676041,0.49949999999999833,0.4879205998481618
Ta001_2,20,5,1,43,2927.0,100,103.574,0.5076486904858284,0.49949999999999933,0.4947738429678437
Ta001_2,20,5,2,44,2876.0,100,68.078,0.5293498800587121,0.49950000000000044,0.4948715359853614
Ta001_3,20,5,0,1042,2668.0,100,111.535,0.5224504624732064,0.4994999999999997,0.49152044954955115
Ta001_3,20,5,1,1043,3091.0,100,60.191,0.5156877069681851,0.49950000000000006,0.4916657439999873
Ta001_3,20,5,2,1044,2769.0,100,31.657,0.5348477764835793,0.49949999999999967,0.4887360723420795
Ta001_4,20,5,0,2042,2801.0,100,58.618,0.5115481693918842,0.49950000000000017,0.49082967250364473
Ta001_4,20,5,1,2043,2917.0,100,60.487,0.5251744379857357,0.4994999999999994,0.48893595053998984
Ta001_4,20,5,2,2044,2852.0,100,114.557,0.5169500318178083,0.4995000000000011,0.4918580082388486
Ta001_5,20,5,0,3042,2886.0,100,98.28,0.5118186134380415,0.4994999999999994,0.49124489018416384
Ta001_5,20,5,1,3043,2781.0,100,66.964,0.5202038520098775,0.4995000000000002,0.4895667868825576
Ta001_5,20,5,2,3044,2944.0,100,86.437,0.5131579417214241,0.4995000000000006,0.49099199956873923
Ta001_6,20,5,0,4042,2810.0,100,99.935,0.5245703276573286,0.4994999999999997,0.4899495718024815
Ta001_6,20,5,1,4043,2778.0,100,98.329,0.5152835344625526,0.49949999999999994,0.492673157632514
Ta001_6,20,5,2,4044,2880.0,100,86.088,0.5178908975106165,0.4995000000000001,0.4923737690750308
Ta001_7,20,5,0,5042,2777.0,100,77.248,0.5169907921293977,0.49950000000000033,0.4946049665630278
Ta001_7,20,5,1,5043,2906.0,100,60.741,0.5310165158991377,0.4995000000000005,0.4618115000783242
Ta001_7,20,5,2,5044,2842.0,100,99.026,0.5048634543532827,0.4995000000000002,0.49701863840689287
Ta002_2,20,5,0,6042,3206.0,100,74.588,0.5120207495183949,0.49949999999999933,0.48545715621878643
Ta002_2,20,5,1,6043,2684.0,100,77.039,0.5202734280003392,0.4994999999999999,0.4894207903740411
Ta002_2,20,5,2,6044,2831.0,100,80.749,0.5145229293772836,0.49949999999999983,0.48558869892214673
Ta002_3,20,5,0,7042,2914.0,100,79.988,0.5110127562619673,0.4995000000000005,0.4906694551325057
Ta002_3,20,5,1,7043,2959.0,100,64.296,0.5229921830475677,0.49949999999999967,0.4967860475467256
Ta002_3,20,5,2,7044,3113.0,100,75.141,0.5137509985314577,0.49950000000000017,0.49750946752175756
Ta002_4,20,5,0,8042,2828.0,100,86.649,0.5158011548117998,0.4995000000000001,0.467568103280512
Ta002_4,20,5,1,8043,3177.0,100,85.105,0.5040954178753634,0.49949999999999983,0.4953425023506931
Ta002_4,20,5,2,8044,3082.0,100,71.503,0.5198076168555845,0.4995000000000002,0.4841495438824298
Ta002_5,20,5,0,9042,3201.0,100,79.668,0.503801949212216,0.4995000000000001,0.49327967491290253
Ta002_5,20,5,1,9043,2825.0,100,55.518,0.527807429856141,0.4994999999999986,0.47697495941617446
Ta002_5,20,5,2,9044,2921.0,100,66.273,0.5227798916067941,0.4995000000000009,0.49179580003067835
